asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
482,188.141370061,790.0,37.0,ADM3,482,482,ETH,ETH-ADM3-50319843B60592350,Kore,ADM3
483,524.13742238,868.0,167.0,ADM3,483,483,ETH,ETH-ADM3-50319843B27712169,Goba Koricha,ADM3
484,414.402195381,851.0,126.0,ADM3,484,484,ETH,ETH-ADM3-50319843B69874916,Chiro Zuria,ADM3
485,205.803845807,429.0,50.0,ADM3,485,485,ETH,ETH-ADM3-50319843B22926217,Midega Tola,ADM3
486,818.245776671,1326.0,154.0,ADM3,486,486,ETH,ETH-ADM3-50319843B88155410,Meyu,ADM3
487,411.522026742,1035.0,20.0,ADM3,487,487,ETH,ETH-ADM3-50319843B6724277,Chinaksen,ADM3
488,637.740779812,1459.0,231.0,ADM3,488,488,ETH,ETH-ADM3-50319843B27892122,Gasera,ADM3
489,420.268751193,1671.0,125.0,ADM3,489,489,ETH,ETH-ADM3-50319843B32621018,Dinsho,ADM3
490,999.386886625,2116.0,216.0,ADM3,490,490,ETH,ETH-ADM3-50319843B36241697,Harena Buluk,ADM3
491,389.909149574,725.0,202.0,ADM3,491,491,ETH,ETH-ADM3-50319843B4084914,Goro,ADM3
492,606.609774059,1099.0,121.0,ADM3,492,492,ETH,ETH-ADM3-50319843B15238442,Afele Kola (Dima),ADM3
493,639.08987596,1266.0,189.0,ADM3,493,493,ETH,ETH-ADM3-50319843B2549075,Kercha,ADM3
494,389.421058835,830.0,148.0,ADM3,494,494,ETH,ETH-ADM3-50319843B8311702,Girja (Harenfema),ADM3
495,420.571739982,860.0,169.0,ADM3,495,495,ETH,ETH-ADM3-50319843B14789449,Wadera,ADM3
496,291.11603108,912.0,64.0,ADM3,496,496,ETH,ETH-ADM3-50319843B8862575,Abaya,ADM3
497,358.809886446,1016.0,142.0,ADM3,497,497,ETH,ETH-ADM3-50319843B9340837,Bule Hora,ADM3
498,453.883692849,1093.0,207.0,ADM3,498,498,ETH,ETH-ADM3-50319843B87497601,Yabelo,ADM3
499,211.105827077,497.0,59.0,ADM3,499,499,ETH,ETH-ADM3-50319843B8019166,Sodo Daci,ADM3
500,497.499727698,982.0,56.0,ADM3,500,500,ETH,ETH-ADM3-50319843B82027357,Kondaltiti,ADM3
501,394.734108161,1236.0,184.0,ADM3,501,501,ETH,ETH-ADM3-50319843B80246835,Dugda Dawa,ADM3
502,841.136858927,1329.0,199.0,ADM3,502,502,ETH,ETH-ADM3-50319843B54675095,Melka Soda,ADM3
503,611.792432513,1420.0,305.0,ADM3,503,503,ETH,ETH-ADM3-50319843B94837992,Dillo,ADM3
504,567.524470018,1586.0,296.0,ADM3,504,504,ETH,ETH-ADM3-50319843B2810677,Dire,ADM3
505,587.714089905,1237.0,374.0,ADM3,505,505,ETH,ETH-ADM3-50319843B50020843,Miyo,ADM3
506,494.36883975,878.0,318.0,ADM3,506,506,ETH,ETH-ADM3-50319843B89923118,Dehas,ADM3
507,484.758219085,1503.0,268.0,ADM3,507,507,ETH,ETH-ADM3-50319843B43871336,Arero,ADM3
508,1245.54020408,2013.0,304.0,ADM3,508,508,ETH,ETH-ADM3-50319843B17704908,Gidami,ADM3
509,920.724347721,1860.0,287.0,ADM3,509,509,ETH,ETH-ADM3-50319843B52017910,Anfilo,ADM3
510,515.620613111,1083.0,229.0,ADM3,510,510,ETH,ETH-ADM3-50319843B44240761,Bure,ADM3
511,454.534661153,813.0,268.0,ADM3,511,511,ETH,ETH-ADM3-50319843B9480608,Sayo,ADM3
512,2157.34709396,3819.0,374.0,ADM3,512,512,ETH,ETH-ADM3-50319843B90381836,Sale Nono,ADM3
513,404.765981152,847.0,234.0,ADM3,513,513,ETH,ETH-ADM3-50319843B78839768,Gudetu Kondole,ADM3
514,453.950514937,899.0,203.0,ADM3,514,514,ETH,ETH-ADM3-50319843B62817820,Mana Sibu,ADM3
515,511.812266702,1191.0,186.0,ADM3,515,515,ETH,ETH-ADM3-50319843B91288709,Kiltu Kara,ADM3
516,427.070262393,1074.0,154.0,ADM3,516,516,ETH,ETH-ADM3-50319843B5479841,Nejo,ADM3
517,315.218080976,774.0,131.0,ADM3,517,517,ETH,ETH-ADM3-50319843B88387380,Boji Dirmeji,ADM3
518,329.712979308,626.0,121.0,ADM3,518,518,ETH,ETH-ADM3-50319843B18453404,Lalo Asabi,ADM3
519,260.893872423,626.0,78.0,ADM3,519,519,ETH,ETH-ADM3-50319843B20440907,Gimbi,ADM3
520,435.198770568,861.0,69.0,ADM3,520,520,ETH,ETH-ADM3-50319843B8819203,Chwaka,ADM3
521,410.739391737,902.0,72.0,ADM3,521,521,ETH,ETH-ADM3-50319843B23406856,Dabo Hana,ADM3
522,288.298026736,970.0,28.0,ADM3,522,522,ETH,ETH-ADM3-50319843B89525721,Diga,ADM3
523,590.946198528,1419.0,139.0,ADM3,523,523,ETH,ETH-ADM3-50319843B97260908,Haro Limu,ADM3
524,190.080205828,513.0,17.0,ADM3,524,524,ETH,ETH-ADM3-50319843B34237899,Abichuna Gne'a,ADM3
525,213.560858437,622.0,28.0,ADM3,525,525,ETH,ETH-ADM3-50319843B96113830,Kembibit,ADM3
526,316.483899322,660.0,56.0,ADM3,526,526,ETH,ETH-ADM3-50319843B30459458,Gimbichu,ADM3
