id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
356229,ET-0008,small_airport,"Omorate Airport",4.80059,36.12643,1243,AF,Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",ET-SN,SN,Omorate,0,,,,,,,50,2022-08-16T17:21:22+00:00
316689,HAPW,small_airport,"Beles Airport",11.3126,36.4164,3695,AF,Ethiopia,ET,"Benishangul-Gumuz Region",ET-BE,BE,Pawe,0,HAPW,PWI,,,,Pawi,50,2016-01-14T22:58:54+00:00
316765,HASK,small_airport,"Shakiso Airport",5.6923,38.9764,5815,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Shakiso,0,HASK,SKR,,,https://en.wikipedia.org/wiki/Shakiso_Airport,,50,2016-01-21T19:55:43+00:00
31569,HASH,small_airport,"Sheikh Hussein Airport",7.74175,40.69557,6500,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,"Sheikh Hussein",0,HASH,,,,,,50,2022-08-16T16:32:43+00:00
32409,HASD,small_airport,"Soddu Airport",6.80281,37.68622,6400,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Soddu,0,HASD,SXU,,,,,50,2022-08-16T17:02:13+00:00
316422,TUJ,small_airport,"Tum Airport",6.26,35.5184,4700,AF,Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",ET-SN,SN,Tum,0,,TUJ,,,,,50,2015-11-22T17:11:11+00:00
32627,HAWC,small_airport,"Waca Airport",7.166999816894531,37.16699981689453,4200,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Waca,0,HAWC,WAC,,,,,50,2008-12-19T20:07:46+00:00
308934,HAWR,small_airport,"Warder Airport",6.9724,45.3334,1850,AF,Ethiopia,ET,"Somali Region",ET-SO,SO,Warder,0,HAWR,WRA,,,,,50,2013-06-30T12:38:44+00:00
341720,ET-0005,heliport,"African Union Heliport",8.999475,38.742503,,AF,Ethiopia,ET,"Addis Ababa",ET-AA,AA,"Addis Ababa",0,,,,,,,0,2021-03-05T17:17:02+00:00
336999,ET-0004,closed,"(Old) Awasa Airport",7.066667,38.490278,,AF,Ethiopia,ET,"Sidama Region",ET-XSD,XSD,Awasa,0,,,,,,"AWA, HALA",0,2022-08-16T17:15:08+00:00
347322,XBL,closed,"Buno Bedelle Airport",8.447604,36.341035,6560,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Bedelle,0,,XBL,,,,,0,2021-08-30T12:43:07+00:00
316528,HADB,closed,"Degah Bur Airport",8.234,43.5673,3550,AF,Ethiopia,ET,"Somali Region",ET-SO,SO,"Degah Bur",0,HADB,DGC,,,,,0,2015-12-11T13:38:37+00:00
313315,ET-0001,closed,"Old Jijiga Airport",9.3615,42.7887,5500,AF,Ethiopia,ET,"Somali Region",ET-SO,SO,Jijiga,0,,,,,,JIJ,0,2014-12-01T00:40:17+00:00
