IncidentDate,Time,MGRS,Latitude,Longitude,Adm2,Adm0,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,Adm1,ConflictOrCrimeOriented
6/4/2024,,37PEP6537107882,11.830515,39.600133,Woldiya,Amhara,Yes,,Yes,Armed Clash,UAG,GOE officials,Explosive/Remote Violence,"On June 4 BBC Amharic reported that three bomb attacks allegedly targeted government officials in Woldia just in the past week, according to residents. The attacks reportedly happened at the North Wollo Zone administrative office and the residences of government officials, causing property damage but no reported casualties.",0,0,No,No,BBC Amharic,North Wollo,crime oriented
5/28/2024,,37PCQ9831086885,13.448109,38.060587,Debark,Amhara,No,,Yes,Kidnapping,UAG,INGO staffs,Crime,"On May 28, a UAG reportedly abducted several INGO staff members who were traveling in a rental vehicle from Adiarkay town to Debark town. The incident occurred at Ambera, Maka Kebele in Adi Arkay Woreda. The rental vehicle was found abandoned on the side of the road. Later, the abductees were reportedly released. The motives for the abduction remain unclear.",0,0,No,No,,North Gonder,crime oriented
5/27/2024,,37PDL7341515862,9.189957,38.758007,Chancho,Oromia,No,,Yes,Crime/Killing,UAG,Police official,Crime,Police contacts and different sources confirmed that the commander of the sululta police office killed and other 4 police officers injured while they were on duty.,1,4,Yes,No,Police contact,Sheger City,crime oriented
5/24/2024,,37PCP1572286218,12.534208,37.304003,Ayimba,Amhara,No,,Yes,Crime/Killing,UAG,INGO driver,Crime,"On May 24, a UAG reportedly shot at two vehicles carrying INGO staff traveling from Gendawuha town to Gonder city in the west Gonder zone. The incident occurred near Gondar Ber, on the outskirts of Ayuimba town in Dembia woreda. The driver of one vehicle was killed, and another staff member was injured. The motive for the shooting is currently unknown. Armed conflict between government security forces and Fano was also reported in the Gedebye area on the Dabat-Gonder road.",1,1,Yes,No,,West Gonder,crime oriented
5/19/2024,,37PCN2326382055,11.593034,37.379061,BahirDar,Amhara,Yes,,Yes,Armed Clash,UAG,Regional peace & security head residence,Explosive/Remote Violence,"sources reported that on May 19, 2024, at 21:40 grenade attack was reported in Bahir Dar City. This attack was the 18th attack from Sunday to Sunday. Particularly this attack was occurred at kebele 16 near/Back side of Fasilo secondary school. The target was regional peace and security head (Desalegn Tasew) residence/ not office/. Two grenade attacks reported. Following this fire exchange between security guards of the official and attackers reported however no casualty reported. This vicinity was known as a residence for regional officials.",0,0,No,No,,North Gojjam,crime /conflict oriented
5/19/2024,,37PDN4245297751,11.739037,38.471867,Nefas Mewcha/Gayint,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"Armed fighting between government forces and Fano has been reported in many areas of the South Gondar. Clashes are ongoing in Gomba/Robit town in Dera Woreda, Gedoda Kebele of Tach Gayint woreda. As a result, the road from woldiya to Debre Tabor is closed.",0,0,No,No,,South Gonder,crime/conflict oriented
5/16/2024,,37NCG9126515572,5.568285,38.018278,,Oromia,No,,Yes,Armed Clash,Kore zone & West Guji residents,Unclear,Crime,"Renewed clashes in Southern Ethiopia and Oromia regions have resulted in the deaths of three individuals. Local sources reported ongoing conflict in Kore Zone's Gorka Woreda and West Guji Zone's Suro Barguda and Gelana Woredas, with officials confirming fatalities and injuries amid the violence.",0,0,No,No,,West Guji,conflict oriented
5/15/2024,,36PXR7687644517,9.445533,34.611042,,Oromia,No,,Yes,Armed Clash,ENDF & OLA,,Crime,"May 15 VOA Amharic reported that ongoing clashes in the Kondala Woreda of West Wollega, between federal forces and Oromo Liberation fighters have led to civilian casualties and displacement, according to residents. The conflict has intensified, with government forces reportedly killing a local high school student and a farmer, according to their families seeking anonymity for safety.",0,0,No,No,VOA Amharic,west wollega,conflict oriented
5/13/2024,,37PEM9389515912,10.093859,39.856964,Tere,Amhara,Yes,,Yes,Drone Strike,ENDF,Unclear,Explosive/Remote Violence,"Al-Ain Amharic reported that drone strike in two woredas of the North Shewa Zone reportedly impacted a school and local residents. The attack caused significant casualties in Gulo in the Tere Kebele in the Kewet Woreda, including the deaths of three farmers and critical injuries to a female teacher on Sunday.",3,1,Yes,No,Al-Ain Amharic,North Shewa,crime/conflict oriented
5/13/2024,,37PEL8011298182,9.933808,39.73082,Mezezo,Amhara,Yes,,Yes,Drone Strike,ENDF,,Explosive/Remote Violence,"Al-Ain Amharic reported that a second drone strike reportedly occurred on Tuesday, with injured individuals rushed to a hospital near the Mezezo Secondary School in the Tarmaber Woreda.",0,Unknown,Yes,No,Al-Ain Amharic,North Shewa,crime/conflict oriented
