IncidentDate,Time,MGRS,Latitude,Longitude,Adm2,Adm0,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,Adm1,ConflictOrCrimeOriented
1/4/2024,,37NEG4274814516,5.55942,39.385969,,Oromia,No,,Yes,Armed Clash,ENDF & OLA,,Crime,"Wazema Radio reported in the East Borana Zone of the Oromia Region, a severe clash occurred Tuesday between the Ethiopian National Defense Forces and a group identifying as the Oromo Liberation Army (OLA) in the Gumi Eldalo Woreda. The conflict, taking place in an area called ?Boba,? resulted in the reported deaths of four civilians. The main road from Negelle Borana to Moyale was closed until Thursday due to the incident.",4,0,No,No,Wazema Radio,Eastern Borena,conflict oriented
1/2/2024,,37PDK7278496999,9.019339,38.752383,Addis Ababa,Addis Ababa,No,,No,Arrests,EFP,Suspecious people,Crime,"January 02 Arts Tv world in a major operation in Addis Ababa, federal police apprehended over 5,500 suspects. The operation, aimed at cleansing the city of various criminal activities, involved extensive investigations and raids on numerous establishments, resulting in the seizure of significant quantities of drugs and the exposure of illegal activities, including child exploitation and online gambling",0,0,No,No,Arts TV world,Addis Ababa,crime oriented
12/30/2023,,37PCN1294268733,11.472062,37.285156,Bahirdar,Amhara,No,,Yes,Armed Clash,UAG,Unclear,Crime,"Surprised attacks reported in Meshenti (near Bahir Dar), Bikolo (Wetet Abay and surroundings Casualties are reported in all areas.",0,0,No,No,,West Gojjam,crime oriented
12/30/2023,,36PZR1452351982,9.50499,35.864487,Soge,Benshangul,No,,Yes,Armed Clash,OLA militants,"police station, Banks",Crime,"December 30: Saturday morning at 06:00 AM, OLA militant attacked Soge town of Mizhga / Belo Jegonfoy District in Kamashi zone. They looted police vehicle, motor cycles, houses and two banks (Awash & CBE). They able to control police station for a while. They burn 8 vehicles and 18 motorcycles in the town. Three deaths and injuries reported.",3,3,Yes,No,,Kamashi,crime oriented
12/29/2023,,37PFK0087783175,8.893252,39.917478,Metehara,Oromia,No,,Yes,Crime/Killing,UAG,Pilgrims,Crime,"On December 29th, pilgrims en route from the annual St. Gebrel celebration in Kulubi town to Addis Ababa were attacked by armed militants near Metehara town in the East Shewa Zone of the Oromia Region. The attack resulted in an unknown number of casualties and hostages, whose whereabouts are still unknown.",0,0,No,No,,East Shewa,Unknown
12/29/2023,,37PAQ9140833736,12.953726,36.155887,Metema,Amhara,No,,No,Kidnapping,UAG,Civilians/Demanding ransom,Crime,"On December 29 VOA amharic reported armed militants abducted 28 individuals at the beginning of the week in the Metema Woreda in the West Gondar Zone of the Amhara Region. Metema Woreda residents and the families of the victims announced that the kidnappers have been calling the victims? families, demanding ransom for the release of their family members.",0,0,No,No,VOA Amharic,West Gonder,crime oriented
12/29/2023,,37NCG2969345660,5.83919,37.461748,Zeyise,Southern Ethiopia,No,,Yes,Intercommunal Violence,Zeyise clan & GOE Security forces,,Miscellaneous,"On December 29,2023 in the afternoon time security incident reported between Zeyise community and security forces in Arbamich Zuriya woreda. Report indicates that transportation has been disrupted from Arbamich to Konso due to the conflict temporally.",0,0,No,No,,Arbaminch,conflict oriented
12/27/2023,,37NEJ6646332094,7.527374,39.602434,Sherka,Oromia,No,,Yes,Crime/Killing,UAG,Civilians,Crime,"December 27, Asham Tv reported the Ethiopian Human Rights Council has confirmed the deaths of 53 civilians in the Oromia Region between September and December 2023. In its 154th official report, released on November 24th, the council detailed an incident in Sherka Woreda, East Arsi Zone of the Oromia Region, where 17 civilians were killed by armed militants.",17,0,No,No,Asham TV,East Arsi,crime oriented
12/26/2023,,37PDM0660924031,10.167294,38.147454,Dejen,Amhara,No,,Yes,Armed Clash,ENDF,Insurgent group operation,Crime,"December 26, FDRE Defense Force The Ethiopian Defense Forces have reportedly countered an insurgent group's operation in the Dejen Woreda, East Gojjam Zone. According to them the group was effectively neutralized, and over sixty of its members were ?incapacitated.?",0,0,No,No,ENDF,East Gojam,conflict oriented
12/25/2023,,37PBL8696986444,9.82287,37.057607,,Oromia,No,Drone,Yes,Drone Strike,ENDF,Church officials,Explosive/Remote Violence,"Wazema radio reported In the Horo Guduru Wollega Zone, Oromia Region, a drone attack was reported in the Boro Kebele, Kombolcha Woreda. The attack resulted in the death of eight church officials from Boro Gospel Church. The incident occurred on Monday morning. Sources indicated that the attack targeted church officials gathering agricultural produce. Additionally, unspecified individuals suffered physical injuries, and most of the church's property and the collected produce were destroyed in the attack.",8,Unknown,Yes,No,Wazema Radio,Horo Gudru,crime/conflict oriented
12/21/2023,,37PCM1752279838,10.668688,37.331691,,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"Wazema radio reported that Intense conflicts between the Ethiopian National Defense Forces and Fano fighters around Amanuel City in the Machakel Woreda of the East Gojjam Zone of the Amhara Region have been reported. Residents have confirmed casualties among both groups, but the exact toll on civilians remains unknown.",0,0,No,No,Wazema Radio,East Gojjam,conflict oriented
12/19/2023,,37PFL5876774810,9.720152,40.447298,,Afar,No,,Yes,Armed Clash,Afar & Issa clans,,Crime,"PLSO reported On December 19th, sources reported an armed conflict between ethnic Afar and ethnic Somali/Issa communities in Hinile Ado Kebele, Garani Woreda, Mahii Zone (Zone 6) of the Afar Region. As of this morning, tensions have escalated and are notably high in Hanruka Gelalo, and Gewani Woredas of Gebi Zone (Zone 3).",0,0,No,No,PLSO,Mahii(Zone 6),conflict oriented
12/17/2023,,37PDK7165396001,9.010303,38.742092,Addis Ababa,Addis Ababa,No,,Yes,Crime/Killing,Unidentified,,Crime,"On December 17,around 11:00pm at night an individual was shot and killed around Edna mall area, near Flirt lounge .The perpetrator is unknown at this time but the incident was witnessed by taxi drivers and the lounge?s security guards.(as reported by Elias Meseret /Journalist).",1,0,No,No,,,crime oriented
12/14/2023,,37PBM8363704806,9.988671,37.026248,,Oromia,No,,Yes,Crime/Killing,UAG,Civilians,Crime,"December 14,2023, thirteen people were killed and four injured in an ambush attack on a vehicle in the Amuru Woreda of the Horo Guduru Zone, Oromia Region. The attack, which targeted civilians en route to load cereal crops, is attributed to radical forces, with locals highlighting that the heavily armed groups surpassed regional militia capabilities.",13,4,Yes,No,,Horo Gudru,crime orienetd
12/13/2023,,37PDN6416242130,11.236328,38.671683,Mahal Saint,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,Civilians,Explosive/Remote Violence,"On Sunday Dec 10 Drone strikes in Mehal saint ,West Wello have killed unconfirmed number of civilians some reports indicated at least 40 have been killed.",40,0,No,No,,West Wollo,crime/conflict oriented
12/13/2023,,36NXP6932173118,7.896056,34.535939,Ababo,Gambella,No,,Yes,Crime/Killing,UAG,,Crime,"Voice of America reorted on December 18,2023, Four people were killed in Kebelle 17, Ababo Woreda, Agnuak Zone, Gambella Region, during an attack by unidentified assailants, as reported by local community members and eyewitnesses",4,0,No,No,VOA,Agnuak Zone,crime oriented
12/8/2023,,37PDK7620396352,9.01351,38.783491,Addis Ababa,Addis Ababa,No,,Yes,Crime/Killing,Unidentified,Medical Doctor,Crime,"On December 08, a young medical doctor was shot and killed in Addis Ababa around Addis Hiwot Hospital, there are different reports about how the victim was killed but it is indicated by police that that ?another vehicle driver reported that his side mirror was hit by the vehicle which the deceased was driving and police trying to hit the vehicle tire shot and killed the deceased ?. The other report is the person whose vehicle?s side mirror was broken pulled over his modern car abruptly, peeled off his gun and walked over to the young man and shot him in the head.",1,0,No,No,,,crime oriented
12/7/2023,,37PDK7241995438,9.005217,38.749071,Addis Ababa,Addis Ababa,No,,No,Arrests,GOE,Revolutionary party members,Crime,"Asham TV reported that Biluy Abreham Haimanot, Deputy Chairman of the Ethiopian People?s Revolutionary Party (EPRP), and other prominent figures, including Gidena Medhin of Tinsae Seba Enderta and Kalayou Mahari, have been detained in Addis Ababa in relation to their involvement in organizing what they describe as a peaceful anti-war demonstration.",0,0,No,No,Asham TV,,Crime orineted
12/4/2023,,40NAP8882738715,7.578541,54.1802,Shirka,Oromia,No,,Yes,Crime/Killing,UAG,Christan Ortodox,Crime,"Unidentified assailants reportedly targeted Christians in the Shirka Woreda, Five people were killed by unidentified armed group, allegedly OLA. It is in the same woreda where at least 36 civilians ,orthodox Christians were killed.",5,0,No,No,,Arsi,Crime oriented
12/4/2023,,37PEN2320586841,11.640787,39.212894,Wogeltena,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,Civilians,Explosive/Remote Violence,"On December 4,2023 Addis Standard reported recent drone strikes and heavy artillery shelling in the Amhara Region have resulted in civilian casualties and infrastructure damage, including the deaths of five individuals in Wegel Tena, one a pharmaceutical practitioner, due to a drone strike targeting an ambulance.",5,0,No,No,Addis Standard,North Wollo,conflict/crime oriented
12/1/2023,,36PXQ7718893688,8.985952,34.611798,Gidami,Oromia,No,,Yes,Armed Clash,OLA & ENDF,,Crime,Addis Standard reported in Kellem Wollega Zone of the Oromia Region resulted in the deaths of 45 people. while nine were killed during a prayer service in the Gidami Woreda amidst escalating tensions between the Oromo Liberation Army (OLA) and the Ethiopian government.,45,0,No,No,Addis Standard,Kellem Wollega,conflict oriented
11/28/2023,,37PCN2223682543,11.597392,37.369614,Bahir Dar,Amhara,Yes,,Yes,Crime/Killing,UAG,,Explosive/Remote Violence,"November 28th, sources reported explosion possibly from a grenade attack near the gate of Ayelech/Haile School in Bahir Dar City, the regional capital of Amhara. The extent of injuries or casualties remains unconfirmed at this time.",0,0,No,No,,Bahir Dar,crime oriented
11/28/2023,,37PCM6389998807,10.842178,37.754906,Waber,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,Unclear,Explosive/Remote Violence,"Wazema radio reported on november 28A drone strike in the Bibugn Woreda of East Gojjam Zone in the Amhara region, specifically in the town of ""Waber,"" reportedly resulted in over 20 casualties on Monday evening.",0,20,Yes,No,Wazema Radio,East Gojjam,crime/conflict oriented
11/28/2023,,37PCN2137582730,11.599044,37.361708,Bahir Dar,Amhara,Yes,,Yes,Crime/Killing,UAG,Unclear,Explosive/Remote Violence,"A grenade attack, was reported around 7:40 pm tonight on November 29th near Amhara Rural Road Authority and Amhara Media Corporation. And also multiple grenade attacks in the 28th and early morning of 29th there gordema,Abay mado, camp sefer kebelle 13 in Shimbit Sub City within Bahir Dar City. The number of casualties and injuries remains unknown at this time.",0,0,No,No,,Bahirdar,crime oriented
11/26/2023,,37NCG2619233135,5.725832,37.430453,Wozeka,South Ethiopia,No,,Yes,Intercommunal Violence,Zeyise clan,,Miscellaneous,"November 26,2023 Conflict erupted in the place called Wozeka Arba Minch Zuria. The main road to Konso and Jinka reportedly temporarily closed .The conflict is between Zeyise clan and the government security force .Casualty reported .The area is 28 km away from Arba-minch town . Movement of government forces to the area observed .",0,0,No,No,,Arbaminch,conflict oriented
11/26/2023,,37NCG3911462863,5.994986,37.546419,,South Ethiopia,No,,Yes,Crime/Killing,ENDF,Civilians,Crime,"On November 26 , Ethiopian media service reported In Kore Woreda, South Ethiopia region two individuals were killed by ENDF officers.one was killed at the spot and the other was taken to ENDF military camp in the area and died after three days of alleged torture.",3,0,No,No,Ethiopian media services,Arbaminch,crime oriented
11/23/2023,,37PCK6449216308,8.287651,37.76955,Wolkite,Central Ethiopia,No,,Yes,Intercommunal Violence,Guraghe & Kebena ethnic,Identity based,Miscellaneous,"November 23, VOA reported Residents of Wolkite, in Central Ethiopia, reported ongoing identity-based violence. The conflicts, primarily between the Gurage and Kebena ethnic groups, have created a high-security tension in the city.",0,0,No,No,VOA,Gurage,conflict oriented
11/16/2023,,37PEP0473330287,12.033759,39.043484,Lalibela,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"November 16, Wazema Radio reported the historic rock-hewn churches in Lalibela, Amhara Region, suffered damage during a recent clash between the Ethiopian National Defense Forces (ENDF) and the Fano militia. Key structures of the UNESCO-recognized Bete Mariam Church were reportedly damaged.",0,0,No,No,Wazema Radio,North wollo,conflict oriented
11/7/2023,,37PEM9977969976,10.582623,39.912067,,Amhara,No,,Yes,Armed Clash,FANO,,Crime,"On November 7th, the Addis Standard reported that more than 18 people were killed during recent clashes between the Fano militia and armed residents in the Artuma Fursi Woreda in the Oromo Special Zone of the Amhara Region. More than 30 others were wounded in fighting on Sunday.",18,30,Yes,No,Addis Standard,oromo Special Zone,conflict oriented
11/5/2023,,37PGL1887247105,9.46696,40.99355,Afdem,Somali,No,,Yes,Intercommunal Violence,UAG,,Miscellaneous,"On November 5th, an inter-tribal conflict emerged in Afdem Town within Afdem Woreda of the Sitti Zone in the Somali Region, following the reported killing of an elder by unknown assailants. The situation rapidly escalated, impacting Dhalaadu Village, located approximately 10 kilometers from Afdem Town, and resulting in casualties. Although relative calm has been reported currently, the situation remains fluid and subject to change.",1,0,No,No,,Sitti,conflict oriented
10/26/2023,,37PDM6753330664,10.228256,38.703551,Dera,Oromia,No,,Yes,Crime/Killing,OLA,Ransom,Crime,"On October 24th, Addis Maleda reported that in the Dera Woreda of the North Shewa Zone in the Oromia Region, residents reported that the OLA killed over 300 people. The armed group reportedly took control of multiple kebeles in the area and demanded large ransoms for the release of kidnapped individuals, with the OLA killing some hostages when they could not pay.",300,0,No,No,Addis Maleda,North Shewa,crime oriented
10/23/2023,,37PFK2828894545,8.995379,40.167081,Awash Sebat,Afar,No,,No,Protest,Protesters,Release of activits,Demonstration,"On october 23, 2023 sources reported a demonstration is taking place in Awash Sebat Town situated within Zone 3 (Gebi Rasu) in the Afar Region. The demonstrators are demanding the release of activists who are currently detained. Consquently, the main road connecting the Eastern parts of the country to the capital, specifically the Ethio-Djibouti road, has been closed at Awash Sebat town.",0,0,No,No,,Zone 3(Gebi rasu),Unknown
10/23/2023,,37PDK8967171401,8.787878,38.906084,Dukem Sub City,Oromia,No,,Yes,Armed Clash,ENDF & OLA,,Crime,"sources have reported an armed confrontation between government security forces and members of the Oromo Liberation Army (OLA) in Dukem Sub City in Bishoftu City, located approximately 21 kilometers from Addis Ababa, within of the Oromia Region. Government security forces are reportedly taking measures to address the situation.",0,0,No,No,,East Shewa,conflict oriented
10/23/2023,,37PCN9763583970,11.613375,38.061017,Este,Amhara,No,,No,Kidnapping,FANO,PP district head,Crime,"Ethio News Media reported that In south Gondar zone, Este woreda prosperity party head and the woreda?s deputy head were captured by the Fanos",0,0,No,No,Ethio News Media,South Gonder,crime oriented
10/20/2023,,37PDL5242485701,9.821441,38.566142,Fiche,oromia,No,,Yes,Kidnapping,OLA gunman,Chinese nationals,Crime,"On October 20th, the Addis Standard reported that alleged OLA gunmen reportedly abducted Chinese nationals working at the East Cement Factory in the Oromia Region. The incident occurred after the armed group infiltrated the factory premises and resulted in intense fighting with government security forces. While the rebel forces eventually retreated, they took several Chinese workers. The exact number of abductees remains unknown.",0,0,No,No,Addis Standard,North Shewa,crime oriented
10/16/2023,,37PEL5434832072,9.336311,39.494923,,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,unclear,Explosive/Remote Violence,"Different medias report indicated that there was a drone strike in North Shewa, Berehet woreda. At least 10 people were killed and 7 seriously injured. Reports indicated that among the deceased are a mother and her two children who were on the road",10,7,Yes,No,,North Shewa,conflict oriented
10/16/2023,,37PCP4255369492,12.384443,37.551725,Maksegnit,Amhara,No,,Yes,Crime/Killing,UAG,District peace & Security head,Crime,Ethio news media reported that deputy head of Gonder Zuria woreda peace and security office was killed by unidentified attackers in Maksegnite town.,1,0,No,No,Ethio News Media,North Gonder,Crime oriented
10/15/2023,,37PCN2560375775,11.536382,37.400837,Bahirdar,Amhara,No,,Yes,Armed Clash,ENDF,Hospital Staff,Crime,"BBC Amharic reports that following the fighting in Sebatamit area of Bair Dar, ENDF forces took hospital staffs and one medical staff was shot and injured. According to the report damages to civilians which includes killing ,injuries and rape.",0,1,Yes,No,BBC Amharic,West Gojjam,conflict oriented
10/14/2023,,37PCK6792321567,8.335308,37.800562,Wolkite City,Central Ethiopia,No,,Yes,Intercommunal Violence,Wolkite city & Kebena special district,,Miscellaneous,"Tikvah Ethiopia reported that clashes between Wolkite City and the Kebena Special Woreda in Central Ethiopia resulted in injuries to innocent people, a burned house, and a federal police officer being shot dead. A curfew was reportedly imposed in the area from 5 pm to 7 am.",1,0,No,No,Tikvah Ethiopia,Gurage,Conflict oriented
10/13/2023,,37PBM8898623676,10.15953,37.074011,,Oromia,Yes,Drone,Yes,Drone Strike,OLA,ENDF,Explosive/Remote Violence,"VOA reported that in the Horo Guduru Wollega Zone in the Oromia Region, witnesses reported a drone attack in the Kombolcha and Hababo Guduru Woredas, areas known for the presence of the Oromo Liberation Army (OLA) insurgent group. The attack targeted the group, leading to clashes with government forces and the use of heavy weapons.",0,0,No,No,VOA,Horo Gudru,Crime oriented
10/10/2023,,37PFR1014632956,13.86433,40.019322,Berhale,Afar,No,,No,Protest,Youth group,Demanding Justice & equality,Demonstration,"Today, reports indicate a peaceful demonstration organized by the youth in Berhale Town situated within the Berhale Woreda of Kilbati Rasu Zone (Zone 2) in the Afar Region. Reportedly protestors are demanding justice and equality.",0,0,No,No,,Kilbati,Unknown
10/9/2023,,37PCP9190811172,11.85916,38.007609,Debretabor,Amhara,No,,Yes,Armed Clash,UAG,Regional PP officials,Crime,"Sources reported that regional, zonal and woreda prosperity party officials with regional police escorts attacked at Alemsaga/ near debretabor city killed. Officials were on their way to Debretabor to visit the newly organize government militia in south Gonder. Reportedly 20 of them killed and some injured.",20,Unknown,Yes,No,,South Gonder,crime oriented
10/9/2023,,37PCN4599470606,11.490622,37.588001,Tis Abay,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"In the outskirt of Bahirdar , Tsi Abay heavy fighting between ENDF and Fano militants reported and ENDF soldiers injury and killing reported.",0,0,No,No,,Bahir Dar,conflict oriented
10/9/2023,,37PEM1814997667,10.834344,39.166043,Wore Illu,Amhara,No,,Yes,Kidnapping,FANO,District Admin officials,Crime,"In South Wollo, Jama, wire illu and kellala Wereda heads and their deputies were taken by Fano militants on their way to kombolcha and ENDF launched heavy fighting to take back prosperity party leaders.",0,0,No,No,,South Wollo,conflict oriented
10/5/2023,,37PDM1373261042,10.50216,38.21164,Sekella,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"Sources reported that in east gojjam Sekela, and different areas of west gojjam fighting between ENDF and Fanos forces was reported.",0,0,No,No,,East Gojjam,conflict oriented
10/3/2023,,37PFN4959045622,11.264931,40.370446,Elwuha,Afar,No,,No,Protest,Protesters,Demanding release of activists,Demonstration,"Today, there are reports of an ongoing public protest taking place in Elwuha town, located in the Mille Worda of Awsi Rasu (Zone 1) in the Afar Region. Consequently, the road linking Awsi Rasu in the Afar Region to Kombolcha town in the Amhara Region is reportedly closed. People participating in the protest are demanding the release of activists allegedly arrested.",0,0,No,No,,Zone 1,Unknown
10/3/2023,,37PEQ5033893660,13.510692,39.465165,Mekelle,Tigray,No,,Yes,Crime/Killing,Tigray Ex -Combatants,,Crime,"On October 3rd, Sheger FM 102.1 reported that looting, killings, and arrests continue to escalate in the Tigray Region. The Union of Civil Society Organizations of the Tigray Region reportedly suggested that the failure of ex-combatants to effectively integrate into society may have contributed to the worsening situation",0,0,No,No,Sheger FM 102.1,Mekelle,crime oriented
10/2/2023,,37PEP0441130107,12.032132,39.040533,Belbela Giorgis,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"October 2a battle between the ENDF and Fano militants in the North Wollo Zone of the Amhara Region, near Lalibela. Residents described heavy fighting with heavy weapons in Belbela Giorgis, 32 kilometers from Lalibela. Shops and service establishments in Lalibela reportedly closed due to the sound of the heavy weapons.",0,0,No,No,,North Wollo,conflict oriented
10/2/2023,,37PCP4165173356,12.419338,37.543233,Maksegnit,Amhara,No,,No,Arrests,ENDF,Regional Police,Crime,"DW Amharic reported in Maksesigte, south Gondar ,regional police officers were arrested by ENDF forces for cooperating with the Fano forces or failing to stop the Fanos.",0,0,No,No,DW Amharic,South Gonder,crime oriented
10/2/2023,,38NJK7282662530,4.179035,42.053282,Dollo Ado,Somali,No,,Yes,Cross-border attack,Al-Shebab,,Crime,"Sources reported the Ethiopian National Defense Force (ENDF) announced the successful prevention of a planned terrorist attack by the al Shabab Terrorist group in the Dolo Ado woreda of the the Liben Zone within the Somali Region. According to the report, a joint effort involving ENDF and the Dollo Ado police resulted in the seizure of a significant cache of materials intended for a terrorist attack. Specifically, the security forces intercepted and confiscated six jerrycans containing explosive chemicals, along with a stockpile of 3000 bullets for a Bren machine gun.",0,0,No,No,,Liben,conflict oriented
10/1/2023,,37PDM6711030863,10.230058,38.699685,Dera,oromia,No,,Yes,Armed Clash,OLA,Ethnic based,Crime,"In Oromia region, North Shewa zone, Dera woreda 10 civilians were killed and unidentified number injured by OLA armed group. The incident took place on October 1 and 2,2023 and it was an ethnic based attack. Following the conflict killings of civilians, vehicles ,houses and famers properties were set on fire. On the second day of the attack,(October 2) it was reported that the OLA have clashed with the Fanos",10,Unknown,Yes,No,,North Shewa,conflict oriented
9/26/2023,,37PEP6898143752,12.154809,39.634026,Kobbo,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,FANO,Explosive/Remote Violence,"DW Amharic reported that Drone attack has been reported in north wello, Kobo area targeting the Fano fighters.",0,0,No,No,DW Amharic,North Wollo,conflict oriented
9/24/2023,,37PCP3185993827,12.60389,37.45207,Gonder,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,DW Amharic reported that in Gonder city battle between government forces and Fano militants in Gondar City that started Saturday and continued into Sunday. The fighting took place primarily in the area known as Shewa Dabo in Kebele 18,0,0,No,No,DW Amharic,North Gonder,conflict oriented
9/24/2023,,38PKR0647720965,9.226265,42.328766,Babile,Oromia,No,,Yes,Intercommunal Violence,Oromia special force,,Miscellaneous,"On September 24th, the Babile Woreda Security Chief reported that Oromo Special Forces allegedly instigated a conflict in the Babile area, located on the border of the Somali and Oromia Regions in Ethiopia. The dispute initially revolved around a disagreement over khat tax but escalated into an ethnic conflict when Oromia Special Forces attacked a Somali IDP camp, leading to over ten civilian deaths.",10,0,No,No,,Babile,crime/political orienetd
9/22/2023,,37PEP0516830030,12.031441,39.047482,Llibela,Amhara,No,,Yes,Armed Clash,ENDF,local militas,Crime,"On September 22nd, in Lalibela, heavy artillery fire from federal government troops towards local militias.",0,0,No,No,,North Wollo,conflict oriented
9/22/2023,,38NKL9066438522,4.869418,43.112321,,Somali,No,,Yes,Cross-border attack,Al-Shebab,ENDF,,It was reported that an offensive was initiated by Al Shabab against the Ethiopian National Defense Force (ENDF) in the Rabdhuure vicinity of the Bakool province of Somalia?s Southwest State bordering the Afder Zone of Ethiopia?s Somali Region.,0,0,No,No,,Afder,Conflict oriented
9/21/2023,,37PEK5241859008,8.675489,39.476483,Awra Godana,Amhara,No,,Yes,Armed Clash,UAG,,Crime,"On September 21st, the VOA reported that tensions escalated following an attack that took place in Awra Godana, located on the border between the Oromia and Amhara Regions. Residents report casualties and displacement and the dispute over whether the village belongs to the Amhara or Oromia Region.",0,0,No,No,VOA,North Shewa,crime oriented
9/18/2023,,37PCM3509068122,10.563576,37.492785,Dembecha,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,Civilians,Explosive/Remote Violence,DW Amharic reported drone attacks was reported in East and West Gojjam towns of Dembecha . Following this Unidentified number of civilians injuried.,0,Unknown,Yes,No,DW Amharic,west Gojjam,conflict oriented
9/18/2023,,37PCN4751800121,10.853415,37.605027,Feres Bet,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,Civilians,Explosive/Remote Violence,DW Amharic reported drone attacks was reported in East and West Gojjam towns of Degadamot/Feres Bet . Following this Unidentified number of civilians injuried.,0,Unknown,Yes,No,DW Amharic,west Gojjam,conflict oriented
9/18/2023,,37PCN2717015654,10.992944,37.418174,Kuarit,Amhara,Yes,Drone,Yes,Drone Strike,ENDF,Civilians,Explosive/Remote Violence,DW Amharic reported drone attacks was reported in East and West Gojjam towns of Quarit . Following this Unidentified number of civilians injuried.,0,Unknown,Yes,No,DW Amharic,west Gojjam,conflict oriented
9/18/2023,,37PEM1777279296,10.668198,39.162504,Jama,Amhara,No,,Yes,Armed Clash,UAG,ENDF camp,Crime,DW Amharic reported that Attack on ENDF forces camp was reported in south wello in an area between Kelela woreda and Jama. Following this attack many ENDF soldiers were killed and injured.,Many,Many,Yes,No,DW Amharic,South Wollo,conflict oriented
9/18/2023,,37PDP7891335806,12.083609,38.806237,Bugna Ayna,Amhara,No,,Yes,Armed Clash,UAG,,Crime,Sources reported that in South wello Fighting erupted in Bugna Ayna area and Fanos enter the area.,0,0,No,No,,"South wollo,",conflict oriented
9/14/2023,,37PDK1347357578,8.662041,38.213517,Teji,Oromia,No,,Yes,Crime/Killing,OLA,,Crime,"On September 14th, Addis Maleda that militants, believed to be from the Oromo Liberation Army (OLA), carried out attacks in the Southwest Shewa Zone, Oromia Region, resulting in the deaths of two police officers in Tulubolo Town and the escape of prisoners in Teji Town. Over ten innocent individuals were reportedly abducted.",2,0,No,No,Addis Maleda,South West Shewa,crime oriented
9/10/2023,,37PEM9442060122,10.493648,39.862839,Majete,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"On sep 10, PLSO reported that over the past four days, more than 40 people tragically lost their lives, and numerous residents fled their homes due to ongoing clashes between the ENDF and Fano militants in various areas of the Amhara Region. The violence reportedly affected Majete in the North Showa Zone, where residents reported casualties of civilians not involved in the conflict, including children and the elderly.",40,0,No,No,PLSO,North Shewa,conflict oriented
9/7/2023,,36PXQ7491512374,8.250821,34.588052,Gambella,Gambella,No,,Yes,Armed Clash,UAG,,Crime,"Addis Maleda reported that a militant attack in the Gambella Region of Ethiopia resulted in four fatalities and at least four injuries. The assailants struck a thatched house in the Gushme area, exacerbating ethnic tensions in the region. Residents responded by taking the bodies of the deceased to government authorities, leading to further unrest and clashes.",4,4,Yes,No,Addis Maleda,,conflict oriented
9/7/2023,,37PEQ5122992337,13.498721,39.473379,Mekelle,Tigray,No,,No,Arrests,Tigray militants,Protesters,Crime,"DW Amharic reported that Tigray militants violently dispersed a peaceful demonstration in Mekele, leading to the beating, harassment, and arrest of participants. The Tigray Freedom Party, one of the protest's organizers, reported that over 150 people have been arrested.",0,0,No,No,DW Amharic,Mekelle,crime oriented
9/2/2023,,37PFK3241699317,9.038412,40.20477,,Afar,No,,No,Arrests,Unidentified,Council member & Journalists,Crime,"Ethiopian human right commission announces that 53 individuals from council members, journalists arrested at Awash Arba Military Camp.",0,0,No,No,,Awash,crime oriented
8/31/2023,,37PEK0050465774,8.736989,39.004591,Bishoftu,Oromia,No,,No,Arrests,Local Police,Ortodox Bishops,Crime,"On August 31, that police arrested seven Orthodox bishops in Bishoftu, Ethiopia, for their involvement in the movement to establish the ""Oromia Orthodox Synod."" The bishops were part of 26 bishops ordained by breakaway archbishops in January, sparking anger among followers of the Ethiopian Orthodox Tewahedo Church (EOTC). Despite reconciliation and the anointment of seven other bishops by the EOTC's Holy Synod, the bishops continued to pursue the establishment of the ""Oromia Orthodox Synod",0,0,No,No,,East Shew,crime oriented
8/24/2023,,37NCG3712478242,6.134014,37.528065,,Southern Ethiopia,No,,Yes,Armed Clash,GOE security forces,,Crime,"On August 24, eighteen(18) people were killed by government security forces in Shara kebele which is located in 9 km distance from Arbaminch town. According to eyewitnesses? information to Deutsche Welle (DW) the conflict came after resident?s request to make Shara Kebele part of the Arbaminch town which resulted into a disagreement with the zone administration. The Gamo zone communication affairs stated on its verified FB account that ?a successful operation has been carried out against the forces that were armed to destroy the constitutional order and destroy the peace and security of the area. During the operation different weapons like Kalashnikovs and guns were sized.",0,0,No,No,"Eyewitness, DW",Gamo,conflict oriented
