Location,QuadKey,Url,Size
Ethiopia,122313233,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122313233/part-00023-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,143.2KB
Ethiopia,122313302,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122313302/part-00167-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,41.7KB
Ethiopia,122313320,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122313320/part-00183-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,20.0KB
Ethiopia,122321310,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122321310/part-00177-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,5.3KB
Ethiopia,122330001,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330001/part-00045-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,63.1KB
Ethiopia,122330010,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330010/part-00194-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,26.0KB
Ethiopia,122330032,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330032/part-00058-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,7.8MB
Ethiopia,122330033,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330033/part-00013-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,8.0KB
Ethiopia,122330110,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330110/part-00169-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,581.0B
Ethiopia,122330112,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330112/part-00121-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,597.3KB
Ethiopia,122330113,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330113/part-00039-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,3.9MB
