event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH10324,"02 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,12,,231,"Eastern Africa",Ethiopia,Oromia,"East Wellega","Gida Ayana",Ayana,9.8833,36.6167,2,"Addis Maleda",National,"On 2 August 2023, ENDF clashed with OLF Shane in Tija Jangir town (a location coded to Ayana, in Gida Ayana woreda, East Wellega, Oromia), resulting in an unknown number of combatants getting killed and wounded from both sides. An unidentified number of fatalities mentioned coded as 3.",3,,1691421654
ETH10325,"02 August 2023",2023,1,"Political violence",Battles,"Armed clash","OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,"Police Forces of Ethiopia (2018-) SNNP State Police",,1,12,,231,"Eastern Africa",Ethiopia,SNNP,Guraghe,"Bui Town",Bue,8.3232,38.5521,1,"Addis Maleda",National,"On 2 August 2023, OLF Shane exchanged fire with SNNP Regional State Police in Bue, Bui town, Sodo woreda (Gurage, SNNP), when the armed group opened fire to attack a police station and release their members detained. At least two police officers were wounded and the armed group left the areas after clashing for an hour. There were no fatalities.",0,,1691421654
ETH10347,"02 August 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Ethiopia)",,5,,,0,50,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Debre Markos town","Debre Markos",10.35,37.7333,1,EMS,Other,"On 2 August 2023, a group closed roads with stones and sticks in Debre Markos town (East Gojam, Amhara) and Bure (coded separately), in a demonstration against the government and ENDF, declaring their support to Fano militia. As a result, public offices and business centers were closed.",0,"crowd size=no report",1691421654
ETH10349,"02 August 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Ethiopia)",,5,,,0,50,,231,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Bure town",Bure,10.7,37.067,1,EMS,Other,"On 2 August 2023, a group of youth closed roads with stones and sticks in Bure town (West Gojam, Amhara) and Debre Markos (coded separately), in a demonstration against the government and ENDF, declaring their support to Fano militia.",0,"crowd size=no report",1691421654
ETH10307,"01 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"North Wello",Lasta,Lalibela,12.0333,39.0333,2,"BBC News; Reuters",International,"On 1 August 2023, in a clash that lasted for two days, ENDF clashed with Fano militias around Lalibela, Lasta woreda (North Wello, Amhara). The clash forced local flights not to land the Lalibela Airport and return. Some sources claimed 'Fano militias taken control of the airport', but the information not confirmed. Casualties unknown.",0,,1691421654
ETH10308,"01 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"North Wello","Kobo town",Kobo,12.15,39.6333,2,"Reporter (Ethiopia); Reuters; Wazema Radio","New media-National","On 1 August 2023, ENDF clashed with Fano militias around Kobo town, Kobo (North Wello, Amhara), forcing the closure of private and public businesses in the town. Casualties unknown.",0,,1691421654
ETH10318,"01 August 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Debre Tabor town","Debre Tabor",11.85,38.0166,2,"Al Jazeera; EMS; Reuters; Wazema Radio","Other-New media","On 1 August 2023, ENDF and Fano militias clashed in or around Debre Tabor town (South Gondar, Amhara). At least, three civilians, including two drivers of a Bajaj and a truck, were killed and hospital sources claimed to have admitted around dozens combatants wounded. The armed clash continued the next day (coded separately). According to a witness, the armed clash began when ENDF tried to mobilize its soldiers from Gondar to Woldiya. Fano and the youth closed the roads by placing stones. The number of fatalities split in to two events, coded as 2.",2,,1691421654
ETH10343,"01 August 2023",2023,1,"Strategic developments","Strategic developments","Change to group/activity","Government of Ethiopia (2018-)",,1,,,0,10,,231,"Eastern Africa",Ethiopia,Amhara,"Wag Hamra","Sekota town",Sekota,12.627,39.0343,1,"EMS; ESAT",Other-International,"Security measures: On 1 August 2023, Sekota town security council declared night time curfew starting from 8 pm and other restrictions, including disseminating false narratives and information to incite conflict between ethnic groups and carrying weapons in public in Sekota town (Wag Hamra, Amhara) in order to celebrate Shaday celebration peacefully.",0,,1691421654
ETH10348,"01 August 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Ethiopia)",,5,,,0,50,,231,"Eastern Africa",Ethiopia,Amhara,"West Gojam",Dembecha,Dembecha,10.55,37.4833,1,EMS,Other,"On 1 August 2023, a group closed roads with stones and sticks in Dembecha ( West Gojam, Amhara) and Amanuel (coded separately), in a demonstration against the government and ENDF, declaring their support to Fano militia.",0,"crowd size=no report",1691421654
ETH10350,"01 August 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Ethiopia)",,5,,,0,50,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam",Michakel,Amanuel,10.443,37.5688,1,EMS,Other,"On 1 August 2023, a group closed roads with stones and sticks in Amanuel (Michakel, West Gojam, Amhara) and Dembecha (coded separately), in a demonstration against the government and ENDF, declaring their support to Fano militia.",0,"crowd size=no report",1691421654
