event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH10516,2023-08-28,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Debre Tabor town","Debre Tabor",11.8500,38.0166,1,"Addis Maleda; BBC News; Deutsche Welle; TIKVAH Ethiopia; Undisclosed Source; VOA","Local partner-Other","On 28 August 2023, and for the third day, ENDF clashed with Fano militias in Debre Tabor town, Debre Tabor (South Gondar, Amhara), resulting in at least 10 people (including civilians and combatants) getting killed and an unknown number of people wounded. Artilleries allegedly hit Debre Tabor Specialized Hospital and damaged windows, injured hospital guards and civilians, 'including around 27 youths who were around the hospital'. Fatalities split into 3 events and coded as 3.",3,,1693863642
ETH10517,2023-08-28,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Mekan Eyesuse","Mekane Yesus",11.6333,38.0666,1,"Undisclosed Source","Local partner-Other","On 28 August 2023, ENDF clashed with Fano militias in Mekan Eyesuse town, Mekane Yesus (South Gondar, Amhara), resulting in 11 people being killed. No further information is available.",11,,1693863642
ETH10518,2023-08-28,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Jabi Tehnan",Jiga,10.6728,37.3765,1,EMS,Other,"On 28 August 2023, Fano militia clashed with ENDF in 01 and 02 Kebele in Jiga town (Jabi Tehnan, West Gojam, Amhara). At least four civilians were killed.",4,,1693863642
ETH10519,2023-08-28,2023,1,"Political violence","Violence against civilians",Attack,"Amhara Ethnic Militia (Ethiopia)",,4,"Civilians (Ethiopia)",,7,47,"Civilian targeting",231,"Eastern Africa",Ethiopia,Oromia,"East Wellega","Guto Gida",Guto,9.2375,36.6310,2,"Oromiya Media Network",International,"On 28 August 2023, Amhara forces 'who were armed in the community' (assumed to be ethnic Amhara militias) shot and killed a man in Meti kebele (a location coded to Guto), Guto Gida woreda (East Wellega, Oromia). The reason is unknown. No further information is available.",1,,1693863642
ETH10520,2023-08-28,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)","Police Forces of Ethiopia (2018-) Oromia State Police; Kebele Communal Militia (Ethiopia)",1,13,,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa",Dera,Selelkula,10.1371,38.4933,1,"Deutsche Welle; Oromiya Media Network",International,"On 28 August 2023, and for the second day, Fano Militias clashed with ENDF and Oromia regional security forces (assumed to be Oromia Regional State Police and Kebele Communal Militias) in Selelkula, Dera woreda (North Shewa, Oromia), after crossing the Amhara-Oromia border from four directions. An unknown number of Fano militias were killed and wounded. An unidentified number of fatalities coded as 3.",3,,1693863642
ETH10508,2023-08-27,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Debre Markos town","Debre Markos",10.3500,37.7333,1,"Undisclosed Source; VOA","Local partner-Other","On 27 August 2023, for the second day, ENDF clashed with Fano militias in in Debre Markos town, Debre Markos (East Gojam, Amhara), resulting in at least 10-100 people (including civilians and combatants) getting killed and an unknown others wounded. Fatalities split into three events and coded as 4.",4,,1693863642
ETH10509,2023-08-27,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Debre Tabor town","Debre Tabor",11.8500,38.0166,1,"Addis Maleda; BBC News; Deutsche Welle; TIKVAH Ethiopia; Undisclosed Source; VOA","Local partner-Other","On 27 August 2023, for the second day, ENDF clashed with Fano militias in Debre Tabor town, Debre Tabor (South Gondar, Amhara), resulting in at least 10 people (including civilians and combatants) getting killed and an unknown number of people wounded. Artilleries allegedly hit Debre Tabor Specialized Hospital and damaged windows, injured hospital guards and civilians, 'including around 27 youths who were around the hospital'. Fatalities split into 3 events and coded as 3.",3,,1693863642
ETH10510,2023-08-27,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Wello",Borena-Debresina,"Mekane Selam",10.7491,38.7605,1,VOA,International,"On 27 August 2023, ENDF clashed with Fano militias in Mekane Selam, Borena-Debresina woreda (South Wello, Amhara). Casualties unknown.",0,,1693863642
ETH10511,2023-08-27,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Finote Selam town","Finote Selam",10.7000,37.2667,1,"Addis Standard; VOA",National-International,"On 27 August 2023, and for the second day, ENDF clashed with Fano militias in Finote Selam, Finote Selam town (West Gojam, Amhara), resulting in at least 3 people getting killed.",3,,1693863642
ETH10512,2023-08-27,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Police Forces of Ethiopia (2018-) Oromia State Police","Kebele Communal Militia (Ethiopia)",1,13,,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa",Dera,"Babu Dire",10.1198,38.6329,1,"Oromiya Media Network",International,"On 27 August 2023, Fano Militias clashed with Oromia regional security forces (assumed to be Oromia Regional State Police and Kebele Communal Militias) in Babu Dire kebele, Dera woreda (North Shewa, Oromia), after crossing the Amhara-Oromia border from four directions. The fighting resulted in an unknown number of people killed and wounded. An unidentified number of fatalities coded as 3.",3,,1693863642
