"Please read a description of the CSV at this link: https://www.humanitarianoutcomes.org/sites/default/files/gdho_read_me.xlsx"
Id,Year,Name,"Abbreviated name",Type,"International or national",Website,"HQ location",Sub-region,"Year founded","Year closed","Countries of Operation (count)",Sector,"Religious or secular",Religion,"Red Cross Code of Conduct signatory","CHS member","InterAction member","ICVA member",Staff,"Staff Imputed",Natl,"Natl Imputed",Intl,"Intl Imputed","% Intl","OPE approx (USD)","OPE Imputed",OPE/staff,"OPE (inflation adjusted)","OPE (original currency)","HumExp approx (USD)","HumExp Imputed","HumExp (inflation adjusted)",Afghanistan,Albania,Algeria,"American Samoa",Andorra,Angola,Anguilla,Antarctica,"Antigua and Barbuda",Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bosnia and Herzegovina",Botswana,"Bouvet Island",Brazil,"British Indian Ocean Territory","Brunei Darussalam",Bulgaria,"Burkina Faso",Burundi,Cambodia,Cameroon,Canada,"Cape Verde","Cayman Islands","Central African Republic",Chad,Chile,China,"Christmas Island","Cocos (Keeling) Islands",Colombia,Comoros,Congo,"Cook Islands","Costa Rica","Cote D'Ivoire",Croatia,Cuba,Cyprus,"Czech Republic",Denmark,Djibouti,Dominica,"Dominican Republic","DR Congo",Ecuador,Egypt,"El Salvador","Equatorial Guinea",Eritrea,Estonia,Eswatini,Ethiopia,"Falkland Islands (Malvinas)","Faroe Islands",Fiji,Finland,France,"French Guiana","French Polynesia","French Southern Territories",Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,"Heard Island and Mcdonald Islands","Holy See (Vatican City State)",Honduras,"Hong Kong",Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Democratic People's Republic of","Korea, Republic of",Kuwait,Kyrgyzstan,"Lao People's Democratic Republic",Latvia,Lebanon,Lesotho,Liberia,"Libyan Arab Jamahiriya",Liechtenstein,Lithuania,Luxembourg,Macao,"Macedonia, the Former Yugoslav Republic of",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,"Marshall Islands",Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Federated States of","Moldova, Republic of",Monaco,Mongolia,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,"Netherlands Antilles","New Caledonia","New Zealand",Nicaragua,Niger,Nigeria,Niue,"Norfolk Island","Northern Mariana Islands",Norway,"Occupied Palestinian Territories",Oman,Pakistan,Palau,Panama,"Papua New Guinea",Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,"Puerto Rico",Qatar,Reunion,Romania,"Russian Federation",Rwanda,"Saint Helena","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines",Samoa,"San Marino","Sao Tome and Principe","Saudi Arabia",Senegal,"Serbia and Montenegro",Seychelles,"Sierra Leone",Singapore,Slovakia,Slovenia,"Solomon Islands",Somalia,"South Africa","South Georgia and the South Sandwich Islands","South Sudan",Spain,"Sri Lanka",Sudan,Suriname,"Svalbard and Jan Mayen",Sweden,Switzerland,"Syrian Arab Republic",Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,"Trinidad and Tobago",Tunisia,Turkey,Turkmenistan,"Turks and Caicos Islands",Tuvalu,Uganda,Ukraine,"United Arab Emirates","United Kingdom","United States","United States Minor Outlying Islands",Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,"Virgin Islands, British","Virgin Islands, U.s.","Wallis and Futuna","Western Sahara",Yemen,Zambia,Zimbabwe
5215,2023,"Canadian Food Grains Bank",,INGO,,https://foodgrainsbank.ca,Canada,"Northern America",1983,,35,"Food security/agriculture",,,,,,,,,,,,,,"$56,594,908",A,"$38,896.84","$56,594,908","CAN 76403126",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1
359,2022,"Catholic Agency for Overseas Development",CAFOD,INGO,International,http://www.cafod.org.uk,"United Kingdom",Europe,1962,,41,,Religious,Christian,,,,,,,,,,,,"$74,722,973",A,"$204,161.13","$77,786,436","GBP 55295000","$43,524,324",A,"$45,308,717",1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,1,,,,,1,,1,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,,,,1,,,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,1
364,2023,"Catholic Near East Welfare Association",CNEWA,INGO,International,http://www.cnewa.org/,"United States","Northern America",1926,,13,,Religious,Christian,,,,,,,,,,,,"$13,145,676",A,"$18,699.40","$13,145,676",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
365,2022,"Catholic Organisation for Relief and Development Aid",CORDAID,INGO,International,http://www.cordaid.org/,Netherlands,Europe,1914,,17,,Religious,Christian,,,,,1325,A,,,,,,"$250,123,864",A,"$188,772.73","$260,378,344","Euro 220109000","$201,250,000",A,"$209,500,769",1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
366,2023,"Catholic Relief Services",CRS,INGO,International,http://www.catholicrelief.org,"United States","Northern America",1965,,121,,Religious,Christian,,,,,,,,,,,,"$1,398,395,000",A,"$144,238.78","$1,398,395,000",,"$1,115,140,000",A,"$1,115,140,000",1,,,,,1,,,,,,,1,,,,,1,,,,,1,,,1,1,1,,1,,,,1,1,1,1,,,,1,1,,1,,,1,,1,,1,1,,1,,,,1,,1,1,1,1,1,,1,,1,1,,,,,,,,,,1,,,1,,,,,,,1,1,1,1,1,,,1,,,,1,1,,1,,1,,1,,1,,1,,1,,,1,1,,1,1,1,,,,,,,1,1,,,1,,,,,,,1,1,1,,,,,,1,1,,1,,,,,1,1,1,,,,,1,,1,,,,,1,1,,,,,,,,,1,,,,,,1,,,,1,1,,1,,,,,1,1,,1,,1,1,,,,,1,,1,1,1,1,1,,,,,1,,,,1,,,,1,,,,,,1,,,,,,1,1
454,2012,"Children's Hunger Relief Fund, Inc.",CHRF,INGO,International,www.chrf.org,"United States","Northern America",1975,,26,Children/youth,Religious,Christian,,,,,,,,,,,,"$57,874,364",A,"$23,924.91","$76,806,531",,"$56,054,866",A,"$74,391,829",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1
457,2022,"Christian Aid",,INGO,International,http://www.christianaid.org.uk,"United Kingdom",Europe,1945,,27,,Religious,Christian,,,,,440,A,,,,,,"$99,864,865",A,"$226,965.60","$103,959,086","GBP 73900000","$61,756,757",A,"$64,288,636",1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,1,,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
4870,2023,"Christian Relief Services",,INGO,International,www.christianrelief.org,"United States","Northern America",1985,,10,,Religious,Christian,,,,,,,,,,,,"$36,613,304",A,"$52,081.51","$36,613,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
479,2020,"CitiHope International, Inc.",,INGO,International,www.citihope.org,"United States","Northern America",1985,,12,,Religious,Christian,,,,,8,A,,,,,,"$34,772,209",A,"$4,346,526.12","$40,937,723",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
504,2022,"Comitato Internazionale Per Lo Sviluppo Dei Popoli",CISP,INGO,International,www.cisp-ngo.org,Italy,Europe,1983,,23,,Secular,,1,,,,,,,,,,,"$40,719,113",A,"$39,456.50","$42,388,499","Euro 35832819",,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
